,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
122,Nanortalik,GL,60.1432,-45.2371,15.91,61,7,18.81
123,Houston,US,29.7633,-95.3633,64.56,85,1,13.8
124,Agua Azul Rancho,HN,14.9,-87.95,63.97,99,100,2.08
125,Akdepe,TM,42.0551,59.3788,46.49,49,100,15.26
126,Walvis Bay,NA,-22.9575,14.5053,67.15,72,0,4.61
127,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,17.27
128,Lima,PE,-12.0432,-77.0282,62.26,83,40,9.22
129,Tabou,CI,4.423,-7.3528,79.63,81,86,3.06
130,Tomatlán,MX,19.9333,-105.25,69.96,72,48,3.02
131,Butaritari,KI,3.0707,172.7902,82.6,70,71,14.16
132,Carutapera,BR,-1.195,-46.02,78.13,78,14,7.25
133,Cabo San Lucas,MX,22.8909,-109.9124,79.52,56,94,2.24
134,Sinnamary,GF,5.3833,-52.95,77.49,86,95,8.79
135,Narsaq,GL,60.9167,-46.05,0.0,73,0,7.63
136,Tasiilaq,GL,65.6145,-37.6368,12.85,62,20,10.89
137,Surab,PK,28.4914,66.2585,64.98,11,0,11.12
138,Kununurra,AU,-15.7667,128.7333,100.85,10,77,16.11
139,Port Blair,IN,11.6667,92.75,82.44,89,75,5.75
140,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,2.3
141,Pasni,PK,25.2631,63.471,77.4,28,3,5.28
142,Nishihara,JP,26.1842,127.7558,73.11,62,40,10.36
143,Saldanha,ZA,-33.0117,17.9442,69.85,74,100,15.9
144,Yar-Sale,RU,66.8333,70.8333,5.07,94,100,3.13
145,Okhtyrka,UA,50.3104,34.8988,30.72,63,16,4.52
146,Los Llanos de Aridane,ES,28.6585,-17.9182,59.13,77,75,4.0
147,Saint-Michel-des-Saints,CA,46.6834,-73.9159,29.93,82,99,10.87
148,Praia da Vitória,PT,38.7333,-27.0667,66.45,88,20,14.63
149,Verkhoyansk,RU,67.5447,133.385,-6.54,98,100,2.06
150,Ingham,US,42.6,-84.3833,30.69,87,90,0.0
151,Yellowknife,CA,62.456,-114.3525,11.41,94,90,6.91
152,Skibbereen,IE,51.55,-9.2667,48.0,87,100,14.47
153,Airai,TL,-8.9266,125.4092,69.58,63,61,4.76
154,Mazagão,BR,-0.115,-51.2894,77.05,95,33,3.09
155,Kamaishi,JP,39.2667,141.8833,50.95,66,35,8.43
156,Kulhudhuffushi,MV,6.6221,73.07,81.27,79,65,18.07
157,Kemijärvi,FI,66.7131,27.4306,25.57,98,90,3.67
158,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,3.44
159,Chiang Khong,TH,20.2613,100.4046,82.81,56,80,3.36
160,Salalah,OM,17.0151,54.0924,88.2,25,7,4.12
161,Mackay,AU,-21.15,149.2,82.31,47,75,10.36
162,San Miguel de Tucumán,AR,-26.8241,-65.2226,69.8,88,0,4.61
163,Iquique,CL,-20.2208,-70.1431,64.44,75,100,4.99
164,Mae Ramat,TH,16.984,98.5166,88.12,56,91,4.88
165,Vostok,RU,46.4856,135.8833,20.28,90,81,7.38
166,Codrington,AU,-38.2667,141.9667,54.45,68,47,8.81
167,Korem,ET,12.5058,39.5228,65.5,34,8,7.4
168,Tiznit Province,MA,29.5833,-9.5,55.83,58,100,1.36
169,Mount Gambier,AU,-37.8333,140.7667,55.31,62,90,10.36
170,Port Elizabeth,ZA,-33.918,25.5701,71.89,64,20,21.85
171,Tranås,SE,58.0372,14.9782,40.05,84,92,6.76
172,San Quintín,MX,30.4833,-115.95,64.58,68,0,5.57
173,Hofn,IS,64.2539,-15.2082,38.66,72,23,20.27
174,Dhidhdhoo,MV,6.8833,73.1,81.41,77,85,17.74
175,Brae,GB,60.3964,-1.353,49.91,90,100,25.75
176,Grindavik,IS,63.8424,-22.4338,36.07,80,40,17.27
177,Big Rapids,US,43.6981,-85.4837,26.19,92,1,0.0
178,Port-Gentil,GA,-0.7193,8.7815,76.96,94,90,14.97
179,Kenitra,MA,34.261,-6.5802,52.56,79,2,4.29
180,Yerbogachën,RU,61.2767,108.0108,10.69,99,96,3.15
181,Tingo María,PE,-9.2895,-76.0088,68.99,98,100,1.39
182,Hilo,US,19.7297,-155.09,72.48,93,20,4.61
183,Nhulunbuy,AU,-12.2333,136.7667,86.61,54,100,14.97
184,São Filipe,CV,14.8961,-24.4956,75.88,79,100,7.58
185,Labuhan,ID,-6.8844,112.2051,84.88,66,66,6.73
186,Nouakchott,MR,18.0858,-15.9785,71.53,56,100,8.5
187,Poum,NC,-20.2333,164.0167,79.66,78,45,9.84
188,Port Hedland,AU,-20.3167,118.5667,89.65,40,5,16.11
189,Meulaboh,ID,4.1363,96.1285,83.41,73,96,6.8
190,Holme,DK,56.1138,10.1725,40.71,89,98,4.94
191,Pisco,PE,-13.7,-76.2167,60.85,88,65,2.3
192,Strelka,RU,58.0728,93.0344,12.11,82,100,7.67
193,Horsham,GB,51.064,-0.3272,42.94,91,0,3.44
194,Sørland,NO,67.667,12.6934,46.26,94,100,31.65
195,Monaragala,LK,6.8714,81.3487,88.32,68,100,1.72
196,Aligoodarz,IR,33.4006,49.6949,51.12,38,100,5.39
197,Kysyl-Syr,RU,63.8986,122.7617,-12.35,99,93,3.02
198,Pevek,RU,69.7008,170.3133,12.33,91,77,6.67
199,Mbini,GQ,1.574,9.6134,78.64,77,85,4.97
200,Pimenta Bueno,BR,-11.6725,-61.1936,71.17,99,100,2.01
201,Santa Helena de Goiás,BR,-17.8136,-50.5969,69.96,90,100,6.06
202,Leningradskiy,RU,69.3833,178.4167,1.78,98,74,7.72
203,Logansport,US,40.7545,-86.3567,34.29,77,90,3.44
204,Gorom-Gorom,BF,14.4439,-0.2361,81.88,21,28,15.55
205,Alyangula,AU,-13.8483,136.4192,89.47,40,100,8.05
206,Severo-Kuril'sk,RU,50.6789,156.125,34.47,67,82,22.91
207,Lakes Entrance,AU,-37.8811,147.981,58.15,66,84,8.63
208,Itarema,BR,-2.9248,-39.9167,79.72,77,74,12.26
209,Khromtau,KZ,50.2503,58.4347,10.54,90,49,11.16
210,Jamestown,US,42.097,-79.2353,32.07,97,90,1.01
211,Bubaque,GW,11.2833,-15.8333,81.72,71,14,7.7
212,Nikolskoye,RU,59.7035,30.7861,35.65,83,100,11.92
213,Tuatapere,NZ,-46.1333,167.6833,48.79,71,100,13.38
214,Tigil',RU,57.8,158.6667,28.35,98,100,8.5
215,Umm Kaddadah,SD,13.6017,26.6876,83.05,20,2,17.47
216,Chern',RU,53.4523,36.9145,29.1,68,62,12.68
217,Oddur,SO,4.1213,43.8894,86.07,47,100,7.96
218,Lata,PT,40.1629,-8.3327,51.96,74,74,4.61
219,Pangai,TO,-19.8,-174.35,77.7,69,31,21.32
220,Coari,BR,-4.085,-63.1414,73.78,99,100,2.24
221,Atuona,PF,-9.8,-139.0333,78.33,74,34,14.47
222,Manicoré,BR,-5.8092,-61.3003,72.95,99,100,2.42
223,Nantucket,US,41.2835,-70.0995,40.6,69,6,30.02
224,Chitipa,MW,-9.7024,33.2697,84.02,31,9,10.49
225,La Ronge,CA,55.1001,-105.2842,30.45,93,90,16.11
226,Louveira,BR,-23.0864,-46.9506,62.2,86,97,5.19
227,Leirvik,NO,59.7798,5.5005,48.92,100,75,9.22
228,Hasaki,JP,35.7333,140.8333,57.52,71,100,20.13
229,Verkhnevilyuysk,RU,63.4453,120.3167,0.45,97,100,3.89
230,Skegness,GB,53.1436,0.3363,44.74,87,43,9.55
231,Sompeta,IN,18.9333,84.6,81.63,81,60,9.08
232,Constantine,DZ,36.365,6.6147,49.41,81,75,10.36
233,Kholm,RU,59.2667,32.85,32.18,79,100,11.65
234,Anadyr,RU,64.75,177.4833,27.1,74,75,8.95
235,Vila Velha,BR,-20.3297,-40.2925,66.94,96,40,3.44
236,Mildura,AU,-34.2,142.15,67.96,28,99,5.75
237,Sur,OM,22.5667,59.5289,82.62,34,6,8.19
238,Porto-Novo,BJ,6.4965,2.6036,82.22,74,73,7.27
239,Cacequi,BR,-29.8836,-54.825,69.33,68,45,2.44
240,Vao,NC,-22.6667,167.4833,76.42,77,3,12.53
241,San Policarpo,PH,12.1791,125.5072,81.52,85,94,11.72
242,San Patricio,US,28.017,-97.5169,69.71,83,0,11.21
243,Ola,RU,59.5833,151.2833,24.3,84,100,13.38
244,Saravan,AM,39.7196,45.6483,39.85,36,0,4.74
245,Huangnihe,CN,43.5583,128.0239,28.33,82,11,4.23
246,Olinda,BR,-8.0089,-34.8553,80.33,74,40,9.22
247,Vestmannaeyjar,IS,63.4427,-20.2734,41.18,69,100,22.35
248,Arrondissement de Verdun,FR,49.25,5.3333,42.69,85,100,1.83
249,Moose Factory,CA,51.2585,-80.6094,26.58,86,90,9.22
250,Ateli Mandi,IN,28.1,76.2833,79.52,16,0,5.19
251,Shūshtar,IR,32.0455,48.8567,70.11,38,100,8.9
252,Navolato,MX,24.7672,-107.6944,68.13,84,100,4.32
253,Sola,VU,-13.8833,167.55,81.68,74,16,8.46
254,Lagoa,PT,39.05,-27.9833,65.34,77,0,18.95
255,Flinders,AU,-34.5833,150.8552,61.61,59,28,9.04
256,Safi,MA,32.2994,-9.2372,59.11,74,0,5.77
257,Esperance,AU,-33.8667,121.9,75.04,71,5,9.19
258,Moranbah,AU,-22.0016,148.0466,83.93,50,32,16.37
259,Port Lincoln,AU,-34.7333,135.8667,59.2,54,9,11.14
260,Sennoy,RU,52.1509,46.9631,27.25,69,26,9.35
261,Antofagasta,CL,-23.65,-70.4,60.08,85,61,3.53
262,Maxixe,MZ,-23.8597,35.3472,85.84,66,40,21.0
263,Cauquenes,CL,-35.9671,-72.3225,39.54,84,0,5.26
264,Coyhaique,CL,-45.5752,-72.0662,31.19,89,0,5.26
265,Bonthe,SL,7.5264,-12.505,78.67,83,24,3.22
266,Krasnosel'kup,RU,65.7,82.4667,5.16,94,100,15.32
267,Ponta do Sol,PT,32.6667,-17.1,65.03,67,100,4.59
268,Jiaxing,CN,30.7522,120.75,66.22,59,97,8.52
269,Bariloche,AR,-41.1456,-71.3082,37.44,61,5,1.83
270,Isla Vista,US,34.4133,-119.861,54.68,94,90,6.91
271,Margate,GB,51.3813,1.3862,49.01,80,100,3.6
272,Guerrero Negro,MX,27.9769,-114.0611,66.87,72,0,8.43
273,Rocky Mountain House,CA,52.3668,-114.9188,28.53,93,100,6.91
274,Ust'-Kut,RU,56.7938,105.7672,25.43,94,100,1.07
275,Gilbués,BR,-9.8317,-45.3439,68.58,95,100,5.1
276,Wencheng,CN,33.0559,113.7978,61.74,48,80,7.43
277,‘Ewa Beach,US,21.3156,-158.0072,74.66,81,90,4.0
278,Fortuna,US,40.5982,-124.1573,50.4,74,90,1.99
279,Zapolyarnyy,RU,69.4154,30.8136,33.08,92,64,12.19
280,Necochea,AR,-38.5473,-58.7368,54.03,89,100,15.61
281,Alamosa,US,37.4695,-105.87,44.11,50,100,5.44
282,Mountain Home,US,43.133,-115.6912,54.5,50,75,16.11
283,Lorengau,PG,-2.0226,147.2712,82.31,69,97,4.16
284,Rocha,UY,-34.4833,-54.3333,63.07,98,100,4.12
285,Kandrian,PG,-6.2167,149.55,78.73,87,100,4.05
286,Sabha,LY,27.0377,14.4283,67.84,51,0,3.33
287,Bhadrāchalam,IN,17.6667,80.8833,85.39,71,74,4.56
288,Nouadhibou,MR,20.931,-17.0347,67.98,88,100,8.05
289,Piranshahr,IR,36.701,45.1413,52.48,32,100,1.28
290,Juneau,US,58.3019,-134.4197,30.63,95,99,3.8
291,Dandong,CN,40.1292,124.3947,44.02,50,0,3.53
292,Acapulco de Juárez,MX,16.8634,-99.8901,74.82,72,12,4.21
293,George Town,MY,5.4112,100.3354,87.21,74,40,11.99
294,Kaitangata,NZ,-46.2817,169.8464,53.92,50,100,13.58
295,Bosaso,SO,11.2842,49.1816,83.86,47,35,8.52
296,Evensk,RU,61.95,159.2333,27.48,86,100,27.96
297,Hamilton,US,39.1834,-84.5333,34.83,90,16,1.01
298,Lavrentiya,RU,65.5833,-171.0,13.26,84,94,7.94
299,Port Macquarie,AU,-31.4333,152.9167,64.89,57,9,7.49
300,Kumul,CN,42.8,93.45,42.42,34,0,4.29
301,Talnakh,RU,69.4865,88.3972,2.23,95,100,10.31
302,Betanzos,ES,43.2804,-8.2147,49.64,89,20,0.0
303,Tashara,RU,55.5195,83.5094,14.72,86,85,4.97
304,Payo,ID,-3.7508,103.6372,91.63,47,100,2.44
305,Baykit,RU,61.67,96.37,13.75,92,100,6.58
306,Garmsār,IR,35.2182,52.3409,57.81,38,100,1.07
307,Sardhana,IN,29.15,77.6167,78.13,21,0,1.16
308,Inírida,CO,3.8653,-67.9239,73.53,95,100,2.17
309,Port Moresby,PG,-9.4431,147.1797,76.42,94,90,9.22
310,Taksimo,RU,56.3444,114.8794,13.46,94,98,1.79
311,Bafra,TR,41.5678,35.9069,55.81,73,97,6.24
312,Gävle,SE,60.6745,17.1417,43.39,91,100,5.99
313,Umm Bāb,QA,25.2142,50.8072,76.26,57,98,4.54
314,Contamana,PE,-7.3333,-75.0167,72.99,91,100,3.02
315,Thio,NC,-21.6167,166.2167,80.56,78,62,9.17
316,Changping,CN,40.2186,116.2197,51.44,41,0,2.59
317,Missoula,US,47.0166,-113.8009,32.68,65,72,20.07
318,Cortez,US,37.3489,-108.5859,44.24,34,100,3.47
319,Hobyo,SO,5.3505,48.5268,83.52,58,100,9.6
320,Gagnoa,CI,6.1293,-5.9437,74.89,94,30,3.13
321,Rāwah,IQ,34.4816,41.9093,71.71,41,67,7.45
322,Malindi,KE,-3.2175,40.1191,84.97,58,27,10.22
323,Discovery Bay,US,37.9085,-121.6002,53.19,95,90,6.91
324,Katsuura,JP,35.1333,140.3,62.46,78,96,16.37
325,Port Hardy,CA,50.6996,-127.4199,39.38,87,75,13.8
326,Ormara,PK,25.2088,64.6357,79.43,26,8,4.34
327,Alofi,NU,-19.0595,-169.9187,71.49,83,0,5.75
328,Nieuw Amsterdam,SR,5.8833,-55.0833,77.02,91,100,7.05
329,Barcelona,ES,41.3888,2.159,51.51,72,40,7.0
330,Coihueco,CL,-36.6167,-71.8333,43.54,93,0,8.05
331,Pombas,CV,17.1503,-25.0201,69.58,74,87,8.12
332,Pauini,BR,-7.7136,-66.9764,73.0,97,100,2.04
333,Kalmunai,LK,7.4167,81.8167,83.57,74,93,6.91
334,Clyde River,CA,70.4692,-68.5914,-0.45,85,62,4.05
335,Vaitape,PF,-16.5167,-151.75,79.14,77,100,4.63
336,Zhigansk,RU,66.7697,123.3711,-25.17,100,67,2.71
337,Charters Towers,AU,-20.1,146.2667,83.53,56,59,10.51
338,Pasvalys,LT,56.0594,24.4036,36.72,88,100,7.16
339,Maicao,CO,11.3832,-72.2432,77.11,85,86,11.14
340,Georgiyevskoye,RU,58.731,45.024,27.32,87,100,14.18
341,Tautira,PF,-17.7333,-149.15,78.82,81,100,11.86
342,Lebu,CL,-37.6167,-73.65,47.3,80,0,18.3
343,Port Hueneme,US,34.1478,-119.1951,61.38,82,90,0.0
344,Riberalta,BO,-10.9833,-66.1,73.99,90,100,2.37
345,Kozan,TR,37.4552,35.8157,63.5,17,1,5.61
346,Tazovsky,RU,67.4667,78.7,2.08,95,100,12.06
347,Pāsighāt,IN,28.0667,95.3333,78.85,40,0,3.62
348,Rehoboth,NA,-23.3167,17.0833,85.73,16,90,11.1
349,Ust-Nera,RU,64.5667,143.2,4.03,99,100,2.82
350,Newburgh,US,41.5034,-74.0104,38.57,74,90,1.01
351,Vila Franca do Campo,PT,37.7167,-25.4333,66.2,81,74,9.71
352,Rawson,AR,-43.3002,-65.1023,48.85,45,1,7.14
353,Okhotsk,RU,59.3833,143.3,10.13,80,65,17.43
354,North Bend,US,43.4065,-124.2243,44.6,98,100,4.85
355,Marabu,MY,4.4148,114.0089,86.14,70,40,4.61
356,Cap Malheureux,MU,-19.9842,57.6142,83.46,57,75,5.99
357,Kohlu,PK,29.8962,69.252,70.16,9,0,7.34
358,Gombe,NG,10.2897,11.1673,82.69,18,100,5.17
359,Hirara,JP,24.8,125.2833,75.47,64,40,10.36
360,Havre-St-Pierre,CA,50.2334,-63.5986,36.14,93,90,9.22
361,Kamphaeng Phet,TH,16.25,99.5,82.49,77,76,4.41
362,Mallaig,CA,54.2169,-111.3685,28.53,97,100,17.6
363,Coolum Beach,AU,-26.5333,153.1,77.02,72,40,5.1
364,Mandalgovi,MN,45.7625,106.2708,32.85,41,57,19.3
365,Esso,RU,55.9333,158.7,23.52,93,100,11.45
366,Omsukchan,RU,62.5333,155.8,8.04,97,100,6.93
367,Kuytun,RU,54.3419,101.5036,29.48,88,100,9.13
368,Aden,YE,12.7794,45.0367,82.53,55,48,10.38
369,Talara,PE,-4.5772,-81.2719,63.45,87,64,14.09
370,Eyl,SO,7.9803,49.8164,84.88,51,99,12.33
371,Emba,KZ,48.8264,58.1442,25.56,65,68,15.01
372,Jackson,US,42.4165,-122.8345,46.45,89,93,3.0
373,Hammerfest,NO,70.6634,23.6821,37.85,93,75,3.44
374,Bentiu,SS,9.2333,29.8333,93.4,20,37,4.65
375,Dunedin,NZ,-45.8742,170.5036,54.81,66,33,3.0
376,Marzuq,YE,14.4,46.4667,77.9,20,24,2.64
377,Nokaneng,BW,-19.6667,22.2667,92.71,25,21,4.56
378,Biltine,TD,14.5333,20.9167,88.14,13,75,11.23
379,Kargasok,RU,59.0556,80.8572,14.79,87,100,12.01
380,Iqaluit,CA,63.7506,-68.5145,-2.47,71,20,12.66
381,Yumen,CN,40.2833,97.2,42.48,19,82,20.74
382,Ambulu,ID,-8.345,113.6058,82.74,75,100,3.67
383,Wau,SS,7.7029,27.9953,88.66,24,87,1.3
384,Mount Isa,AU,-20.7333,139.5,89.37,12,0,13.8
385,Mossamedes,AO,-15.1961,12.1522,72.23,78,20,11.5
386,Jutaí,BR,-5.1833,-68.9,73.78,98,100,1.54
387,Sobolevo,RU,54.4299,31.8996,29.12,75,63,9.4
388,Svobodnyy,RU,51.4,128.1333,19.17,86,1,4.74
389,Puerto Colombia,CO,10.9878,-74.9547,75.29,85,100,11.95
390,Acaraú,BR,-2.8856,-40.12,80.19,76,91,12.64
391,Yeppoon,AU,-23.1333,150.7333,82.18,67,39,9.17
392,Akureyri,IS,65.6835,-18.0878,35.53,64,20,6.91
393,Mont-Dore,NC,-22.2833,166.5833,80.58,75,7,10.49
394,Tarakan,ID,3.3,117.6333,85.5,84,40,3.44
395,Talavera de la Reina,ES,39.9635,-4.8308,43.99,76,6,4.23
396,Brandon,US,27.9378,-82.2859,52.36,80,90,1.99
397,Dodoma,TZ,-6.1722,35.7395,83.23,32,5,10.11
398,Ancud,CL,-41.8697,-73.8203,36.93,80,0,5.21
399,Luan,CH,46.3592,6.9759,36.18,92,23,0.49
400,Bertoua,CM,4.5833,13.6833,69.75,94,100,2.19
401,Wanning,CN,18.8003,110.3967,78.49,83,96,10.54
402,Gamba,GA,-2.65,10.0,78.24,85,100,5.77
403,Kropotkin,RU,45.4375,40.5756,37.0,58,58,18.63
404,Prince Rupert,CA,54.3161,-130.3201,35.83,90,75,4.61
405,Samarai,PG,-10.6167,150.6667,83.17,78,84,10.31
406,Havøysund,NO,70.9963,24.6622,38.28,83,100,9.4
407,Butterworth,MY,5.3991,100.3638,87.4,73,40,11.99
408,Kloulklubed,PW,7.0419,134.2556,82.6,73,96,4.14
409,Kommunisticheskiy,RU,61.6789,64.4819,17.91,92,100,11.1
410,Constitución,CL,-35.3333,-72.4167,46.22,66,0,7.92
